客戶,品號,品名
Biometrix,MDXE-012-01,EXT-T LUER SET
Biometrix,MDXE-054-01,M.Pr.Mon.Li.
Biometrix,MDXE-105-01,M.Pr.Mon.Li.
Biometrix,MDXE-155-01,M.Pr.Mon.Li.
Biometrix,MDXE-019-01,MICR. INF. LINE 2WAY
Biometrix,MDXE-064-01,MICR. INF. LINE 2WAY
Biometrix,MDXE-021-01,MICR. INF. LINE 3WAY
Biometrix,MDXE-120-01,MICR. INF. LINE 3WAY
Biometrix,MDXE-202-02,MICR. INFU. LI. 200CM
Biometrix,MDXE-019-03,MICR. PRES. MON. LINE
Biometrix,MDXE-205-02,Micr. Pres. Mon.Li.
Biometrix,MDXE-152-08,MICR.INFU.LINE 150CM
Biometrix,MDXE-017-02,MICR.INFU.LINE 15CM
Biometrix,MDXE-032-01,MICR.INFU.LINE 30CM
Biometrix,MDXE-052-01,MICR.INFU.LINE 50CM
Biometrix,C09-200-251,公轉式針基
Biometrix,C09-240-251,公轉式針基
Biometrix,D10-240-251-2,母針基
Biometrix,MDXE-012-03,輸液套延長管
Biometrix,MDXE-012-09,輸液套延長管
Biometrix,MDXE-093-01,輸液套延長管
Biometrix,MDXE-152-07,輸液套延長管
Biometrix,MDXE-153-02,輸液套延長管
Biometrix,MDXE-154-02,輸液套延長管
BLLS,R1-10160,"Connector, MLS"
BLLS,R1-10372,Locking Hub
BLLS,C74-49554,MALE CONNECTOR
BLLS,27-0337,MANIFOLD BODY /1 RIGHT
BLLS,27-0336,MANIFOLD BODY 1/RIGHT/RA
BLLS,SB0001,Y組立
BLLS,K08-208-251-1,三通型管(可加)
BLLS,K07-210-251,小U型管
BLLS,F18-000-612,小夾緊器 (白)
BLLS,C09-200-211,公轉式針基
BLLS,C09-250-211,公轉式針基
BLLS,C09-279-211,公轉式針基
BLLS,C09-350-211-1,公轉式針基
BLLS,C09-410-211-1,公轉式針基
BLLS,K27-208-251,四通管
BLLS,D10-210-251,母針基
BLLS,D10-210-251-1,母針基
BLLS,D10-250-211,母針基
BLLS,D10-350-211,母針基
BLLS,D10-410-211,母針基
BLLS,3M41459,兩件式組立
BLLS,SA0118,兩件式組立
BLLS,SA0145,兩件式組立
BLLS,R1-3517,螺帽 for ICU
BLLS,SA0102,雙公轉式針基
CAIR,SB0095,T 注射座
CAIR,B06-410-131-1,Y管 (TERLUX)
CAIR,F17-000-412,小切斷器
CAIR,F17-000-414,小切斷器
CAIR,F17-000-415,小切斷器
CAIR,F17-000-416,小切斷器
CAIR,D10-240-251,母針基 (無翅膀)
CAIR,SC0052,單T螺帽組立
CERKAMED,D10-000-131,雙母針基
Comcorde M,K07-350-251,小U型管
Command Me,701829,Glue Tip
Command Me,C09-305-251,Male Luer Lock
Command Me,F17-999-412,小切斷器(開)
Command Me,E11-000-416-1,公母針基蓋 for Acacia
Command Me,E09-000-642,公針基蓋(白,不透氣)
Command Me,E10-002-642,母針基蓋
Command Me,EB03002,輸液套延長管
Command Me,EB07202,輸液套延長管
Command Me,EB09601,輸液套延長管
Command Me,ED03001,輸液套延長管
Contract S,SA0100,雙公轉式針基
DELTA MED,F17-999-412,小切斷器(開)
DirectMed,Q10-220-331,Barbed Connector w/ FLL
DirectMed,Q09-220-331,Barbed Connector w/ MLL
DirectMed,SA0137,Button Injection Site
DirectMed,F18-000-122-2,Mini Pinch Clamp, White
DirectMed,SA0005,T+螺帽
DirectMed,SD0014,T-aasy I.D. 4.1
DirectMed,SB0107,T組立
DirectMed,SB0045,Y組立
DirectMed,SB0046,Y組立
DirectMed,SB0057,Y組立
DirectMed,K08-208-251,三通型管
DirectMed,F17-000-169,大切斷器
DirectMed,A01-210-251,小T接頭(可加螺帽)
DirectMed,SA0092,小U+螺帽
DirectMed,K07-240-111-1,小U型管
DirectMed,SA0023,小U螺帽組立
DirectMed,F17-000-412,小切斷器
DirectMed,F17-000-413,小切斷器
DirectMed,F17-000-414,小切斷器
DirectMed,F17-000-415,小切斷器
DirectMed,F18-000-617,小夾緊器 (棕)
DirectMed,F18-000-618,小夾緊器 (黑)
DirectMed,C11-111-331,公母針基
DirectMed,E09-000-412-1,公針基蓋
DirectMed,E09-000-412-4,公針基蓋
DirectMed,SA0200,四通+螺帽
DirectMed,D10-240-251-1,母針基
DirectMed,D10-318-271,母針基
DirectMed,E10-002-414,母針基蓋
DirectMed,SA0191,兩件式組立
DirectMed,R1-2392,兩件式組立+公針基蓋
DirectMed,SC0003,單T+蓋組立
DirectMed,SC0006,單T螺帽組立
DirectMed,SC0033,單T螺帽組立
DirectMed,SC0051,單T螺帽組立
DirectMed,SD0002,單T螺帽組立
DirectMed,SD0015,單T螺帽組立+蓋
DirectMed,SA0155,滑輪槽組立
DirectMed,11-350075,輸液管
DirectMed,11-350100,輸液管
DirectMed,H00-111-131,螺帽-B
DirectMed,SA0100,雙公轉式針基
DirectMed,D10-000-131,雙母針基
DUKWOO,D10-410-211,母針基
Ecomed,SD0014,T-aasy I.D. 4.1
Ecomed,SB0043,T組立
Ecomed,SB0107,T組立
Ecomed,K07-210-251,小U型管
Ecomed,R1-2391,公針基 for ICU
Ecomed,R1-2392,兩件式組立+公針基蓋
Ecomed,SC0003,單T+蓋組立
Ecomed,SC0022,單T+螺帽
Ecomed,SC0051,單T螺帽組立
Ecomed,SD0002,單T螺帽組立
FLEXICARE,F18-000-612,小夾緊器 (白)
FLEXICARE,SB0055,長插組立
Haemotroni,SA0146,三通+螺帽組立
Haemotroni,K08-208-251,三通型管
Haemotroni,SA0193,小U+螺帽
Haemotroni,SC0048,單T+蓋組立
Haemotroni,SD0002,單T螺帽組立
Helapet,E09-000-412-1,公針基蓋
Helapet,E09-002-416,公針基蓋
Helapet,E09-000-414,公針基蓋(無孔不透氣)
HYB d.o.o.,SA0145,兩件式組立
ICU,R1-8967,13mm VIAL ACCESS
ICU,R1-8636,6 UP MANIFOLD, NANO
ICU,R1-15200,"BAG SPIKE, .141 TUBING"
ICU,R1-15203,"BAG SPIKE, .170 TUBING"
ICU,R1-15459,"Bag spike, clave side"
ICU,R1-15198,"BAG SPIKE, FEMALE LUER"
ICU,R1-15202,"BAG SPIKE, FEMALE LUER"
ICU,R1-15737,"Bag Spike, Non-ISO"
ICU,R1-15784,"BAG SPIKE, VENT, F-Luer"
ICU,R1-15457,"BAG SPIKE, VENTED, RED"
ICU,R1-8176,"BASE, ENTERPRISE FILTER"
ICU,R1-15853,BREATHER CAP
ICU,712-84132-002,"CAP, LEDO, OP-MOD, III,"
ICU,R1-16158,Chemolock Injector
ICU,R1-16140,"COLLAR, SPIN, NANO T"
ICU,R1-10160,"Connector, MLS"
ICU,R1-8175,"COVER, ENTERPRISE FILTER"
ICU,R1-8717,"COVER, ENTERPRISE FILTER"
ICU,RAW0000336,"HI-RETENTION BAG SPIKE,"
ICU,27-0401,LARGE BORE FEMALE LUER
ICU,R1-10372,Locking Hub
ICU,C74-49554,MALE CONNECTOR
ICU,27-0337,MANIFOLD BODY /1 RIGHT
ICU,27-0336,MANIFOLD BODY 1/RIGHT/RA
ICU,CIV0000230,Medport safety cap
ICU,27-0296,PLUNGER 5CC
ICU,27-0298,PLUNGER TIP, SAFESET
ICU,75-2504,"PLUNGER, SS"
ICU,R1-15874,"RING, LAVENDER, NANO"
ICU,R1-8815,"RING, PURPLE, NANO"
ICU,R1-8677,"RING, RED, NANO"
ICU,R1-8612,"RING, YELLOW, NANO"
ICU,CIV0000119,RIO BAG SIDE CAP
ICU,CIV0000070,"RIO WEDGE, WITH TAB"
ICU,R1-15458,"Spike, Bag, Vented"
ICU,R1-10081,Squeeze Clip TPV
ICU,RAW0000170,"SWABTIP, RIBBED"
ICU,27-0294,SYRING CAP
ICU,R1-8032,Tego Housing
ICU,R1-8383,ULTRASONIC RING
ICU,R1-15935,Universal Vial Adaptor
ICU,R1-15023,VIAL ACCESS SPIKE
ICU,R1-10149,Vial Adapter Long Spike
ICU,SB0041A,Y組立
ICU,SB0045,Y組立
ICU,SB0054,Y組立
ICU,K08-208-251,三通型管
ICU,K08-335-251,三通型管
ICU,F17-000-413,小切斷器
ICU,F18-000-613,小夾緊器 (紅)
ICU,F18-000-619,小夾緊器 (紫)
ICU,R1-2360,公轉式針基
ICU,C09-410-331-1,公轉式針基 (PC RX-1805)
ICU,D10-210-251,母針基
ICU,D10-210-251-1,母針基
ICU,R1-2361,母針基
ICU,R1-3529,兩件式組立+公針基蓋
ICU,SC0040,單T(加長型)螺帽組立
ICU,SC0022,單T+螺帽
ICU,R1-3517,螺帽 for ICU
ICU,A03-210-251,雙T接頭(可加螺帽)
Industrias,E09-000-412-1,公針基蓋
IPM,E09-000-412-1,公針基蓋
IPM,E10-001-412,母針基蓋
KORU Medic,701829,Glue Tip
KORU Medic,C09-305-251,Male Luer Lock
KORU Medic,F17-999-412,小切斷器(開、白)
KORU Medic,E09-000-642,公針基蓋(不透氣、白)
KORU Medic,E10-002-642,母針基蓋 (無孔、白)
MarMed Gmb,E09-000-414,公針基蓋(無孔不透氣)
Meditrade,SA0144,T+螺帽
Meditrade,SA0177,T+螺帽
Meditrade,SB0091,T組立
Meditrade,SC0003,單T+蓋組立
Meditrade,SC0022,單T+螺帽
Meditrade,SC0033,單T螺帽組立
MPS Medica,BC00611SA,"EXTENSION SET SUB-ASS'Y"
MPS Medica,F17-000-416,小切斷器
MPS Medica,E11-000-416-1,公母針基蓋 for Acacia
MPS Medica,D10-240-251-2,母針基
MPS Medica,E10-002-416,母針基蓋
MPS Medica,B-081,逆止閥-F
MPS Medica,AF07001,輸液套延長管
MPS Medica,DB00801,輸液套延長管
MPS Medica,DB00803,輸液套延長管
MPS Medica,DC00601,輸液套延長管
MPS Medica,EB03002,輸液套延長管
MPS Medica,EB03013SA,輸液套延長管
MPS Medica,EB07201,輸液套延長管
MPS Medica,EB07202,輸液套延長管
MPS Medica,EB09601,輸液套延長管
MPS Medica,EC07201,輸液套延長管
MPS Medica,ED03001,輸液套延長管
MPS Medica,EF01601,輸液套延長管
MPS Medica,EG01401,輸液套延長管
MPS Medica,11-021525,輸液管
MPS Medica,11-022032,輸液管
MPS Medica,11-080273,輸液管
MPS Medica,11-082032,輸液管
MPS Medica,11-352032,輸液管
M's Tech,Q10-380-331,Barbed Connector w/ FLL
M's Tech,D10-275-211,母針基
Neotec Bio,D10-000-131,雙母針基
PFM,126-006,Quick Relese Clamp
Pharmamed,SA0182,三通+螺帽組立
Pharmamed,SA0181,小U+螺帽組立
PMH,SC0003,單T+蓋組立
PMH,SD0002,單T螺帽組立
PRO-ACTIVE,SC0031,單T+蓋
Prymax,C09-279-211,公轉式針基
Prymax,C09-410-211-1,公轉式針基
Prymax,D10-279-211,母針基
Prymax,D10-410-211,母針基
Prymax,3M41459,兩件式組立
Qosina,F18-000-126-2,Mini Pinch Clamp, Blue
Qosina,F18-000-122-2,Mini Pinch Clamp, White
Qosina,SA0150,T+螺帽
Qosina,SB0030,Y 組立
Qosina,SB0004,Y組立
Qosina,SB0036,Y組立
Qosina,SA0185,三通+螺帽組立
Qosina,K08-200-251,三通型管
Qosina,K08-410-131,三通型管
Qosina,F17-000-411-1,大切斷器
Qosina,F17-000-616,大切斷器
Qosina,F17-000-412,小切斷器
Qosina,F17-000-414,小切斷器
Qosina,F17-000-415,小切斷器
Qosina,F17-999-416,小切斷器 (開)
Qosina,F17-999-41D,小切斷器 (開)
Qosina,C11-111-131,公母針基
Qosina,C11-111-251,公母針基
Qosina,C11-111-331,公母針基
Qosina,E11-000-412,公母針基蓋
Qosina,SA0120,母針基連蓋組立
Qosina,SA0207,母針基連蓋組立
Qosina,E10-001-618,母針基蓋
Qosina,E10-001-612,母針基蓋(有孔)
Qosina,E10-002-616,母針基蓋(無孔)
Qosina,G05-111-413,注射針筒蓋-有耳
Qosina,SB0083,長插針組立(母針)
Qosina,SB0085,長插針組立(黏管)
Qosina,SC0006,單T螺帽組立
Qosina,SA0109,插入針+蓋
Qosina,SA0108,插袋針+蓋組立
Qosina,E12-111-421,蓋-套環
Qosina,SA0100,雙公轉式針基
Qosina,SA0101,雙公轉式針基
Qosina,SA0102,雙公轉式針基
Qosina,D10-000-131,雙母針基
Qosina,D10-000-331,雙母針基
Qosina,D10-000-335-1,雙母針基-透明綠
quattramed,SA0120,母針基連蓋組立
quattramed,SA0108,插袋針+蓋組立
quattramed,D10-000-131,雙母針基
RF,SB0083,長插針組立(母針)
Romsons,SA0185,三通+螺帽組立
Romsons,SA0190,小U+螺帽
Romsons,SA0191,兩件式組立
ROMSONS IN,SA0185,三通+螺帽組立
ROMSONS IN,SA0190,小U+螺帽
ROMSONS IN,SA0200,四通+螺帽
ROMSONS IN,SA0191,兩件式組立
SAI,MDXE-033-03,輸液套延長管
SAI,MDXE-095-01,輸液套延長管
Saxon,SB0068,FLL注射座
SGA MUH.DA,C09-410-211-1,公轉式針基
SGA MUH.DA,D10-410-211,母針基
Sherleg La,SA0205,母蓋套連環
Stilla,E09-000-612-1,公針基蓋(白)
Tipromed,F17-999-412,小切斷器(開)
Unimedics,F17-999-412,小切斷器(開)
Unimedics,C09-275-311,公轉式針基
Unimedics,D10-275-211,母針基
Unimedics,E10-001-412,母針基蓋
Unimedics,3M41459,兩件式組立
Unimedics,SA0108,插袋針+蓋組立
Vivus Inno,SA0137,Button Injection Site
Vivus Inno,245204024,Needle free connector
Vivus Inno,HLK-005-NFV,Needle free 接頭 XSN526
Vivus Inno,PL-9029,Vivus 印刷袋(XSN 289)
Vivus Inno,PL-9030,Vivus 貼標籤袋(XSN 520)
Vivus Inno,PL-9032,Vivus 貼標籤袋(XSN 525)
Vivus Inno,PL-9058,Vivus 貼標籤袋(XSN-523)
Vivus Inno,K07-210-251,小U型管
Vivus Inno,F17-000-412,小切斷器
Vivus Inno,F17-999-416,小切斷器 (開)
Vivus Inno,F17-999-412,小切斷器(開)
Vivus Inno,E09-000-412-1,公針基蓋
Vivus Inno,D10-210-251-1,母針基
Vivus Inno,SA0120,母針基連蓋組立
Vivus Inno,E10-002-416,母針基蓋
Vivus Inno,SA0118,兩件式組立
Vivus Inno,SA0106,注射座
Vivus Inno,SB0066,單T+蓋組立
Vivus Inno,MDXE-007-01,輸液套延長管
Vivus Inno,MDXE-011-03,輸液套延長管
Vivus Inno,MDXE-011-06,輸液套延長管
Vivus Inno,MDXE-015-08,輸液套延長管
Vivus Inno,MDXE-015-15,輸液套延長管
Vivus Inno,16-680035,輸液管
Vivus Inno,16-680040,輸液管
Vivus Inno,16-680058,輸液管
Vivus Inno,16-680085,輸液管
VLV,B05-240-251,Y管 (PolyOne PVC)
ZOOMCO,F17-000-416,小切斷器
太平洋,K07-410-131,小U型管
太平洋,3M41459,兩件式組立
尼得立斯,K07-410-131,小U型管
吉生,K08-410-131,三通型管
吉生,F18-999-613,大夾緊器 (紅)
吉生,F18-999-616,大夾緊器 (藍)
吉生,K07-410-131,小U型管
吉生,E09-999-412-1,公針基蓋
吉生,C09-279-211,公轉式針基
吉生,C09-410-211-1,公轉式針基
吉生,D10-410-211,母針基
吉生,SC0045,長插組立+點滴筒
宇仁,D09-350-111,公針基
宇仁,D09-410-111-1,公針基
宇仁,H00-111-111-1,螺帽
宇仁,E09-111-416,螺帽蓋
怡安,SB0001,Y組立
長安,SB0001,Y組立
長安,F18-999-612,大夾緊器 (白)
長安,E26-000-413,公母針基保護蓋
長安,C09-350-211-1,公轉式針基
長安,D10-350-211,母針基
長安,SA0106,注射座
長安,11-220290N,輸液管
長安,11-221250N,輸液管
拜爾德,E09-000-412-3,公針基蓋(白)
拜爾德,D10-210-251-1,母針基
拜爾德,D10-240-251-1,母針基
英禾美,SA0106,注射座
笠民,D10-000-131,雙母針基
笠翔醫材股,D10-000-131,雙母針基
策茂,E09-000-412-3,公針基蓋(白)
策茂,D10-210-251-1,母針基
策茂,D10-240-251-1,母針基
愷得,Q09-380-331,Barbed Connector w/ MLL
睿邑,C09-279-211,公轉式針基
睿邑,C09-410-211-1,公轉式針基
3M,CP96023,CAP VENTED
3M,3M55575,LOCK NUT-LUER
3M,3M55567,LUER SLIP-MALE
Internal,0.08*14mm,收縮膜
Internal,0.08*14.5mm,收縮膜
